,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
107,The Razors Edge,3,5u5F7qLDvZjBSktaDp4HxB,Moneytalks,spotify:track:5u5F7qLDvZjBSktaDp4HxB,225946,0.000841,0.65,0.903,0.000351,0.122,-3.677,0.0314,121.896,0.409,63
108,The Razors Edge,4,4ObCns6nM6tShx5a5tHiGC,The Razors Edge,spotify:track:4ObCns6nM6tShx5a5tHiGC,262533,0.00108,0.408,0.947,0.196,0.168,-3.522,0.0532,101.058,0.306,50
109,The Razors Edge,5,6xwxKqCIdrs0RDWkmFxzZs,Mistress for Christmas,spotify:track:6xwxKqCIdrs0RDWkmFxzZs,239520,0.00447,0.432,0.871,0.000375,0.0673,-4.125,0.036,111.942,0.247,44
110,The Razors Edge,6,1SbRJXUX4yNmAr7CZumctk,Rock Your Heart Out,spotify:track:1SbRJXUX4yNmAr7CZumctk,246680,0.00026,0.438,0.901,0.000258,0.0836,-4.473,0.0777,163.322,0.693,44
111,The Razors Edge,7,7A1odihHBrI8n9k0Fefh2j,Are You Ready,spotify:track:7A1odihHBrI8n9k0Fefh2j,250333,0.0165,0.454,0.821,3.55e-06,0.13,-4.816,0.0324,108.533,0.414,64
112,The Razors Edge,8,1i0hnGnt14GL713mmOgJHh,Got You by the Balls,spotify:track:1i0hnGnt14GL713mmOgJHh,270240,0.00212,0.622,0.757,1.91e-06,0.092,-3.453,0.0247,96.982,0.825,44
113,The Razors Edge,9,0NIotBOwHkVRocCRzi41da,Shot of Love,spotify:track:0NIotBOwHkVRocCRzi41da,236520,0.00019,0.581,0.912,0.00144,0.0898,-3.802,0.0317,135.47,0.636,43
114,The Razors Edge,10,0FWmC11IDbq8T2ZTOnnBiL,Let's Make It,spotify:track:0FWmC11IDbq8T2ZTOnnBiL,212320,0.0181,0.454,0.76,0.000216,0.0359,-3.482,0.0422,198.289,0.737,42
115,The Razors Edge,11,3Y23ZSLRdk0d8YWAu4SnFb,Goodbye and Good Riddance to Bad Luck,spotify:track:3Y23ZSLRdk0d8YWAu4SnFb,193560,0.0387,0.418,0.738,1.27e-06,0.102,-4.483,0.0708,202.795,0.566,41
116,The Razors Edge,12,60YOadmxT3GeNlAHbrhR8U,If You Dare,spotify:track:60YOadmxT3GeNlAHbrhR8U,198360,0.00586,0.449,0.848,0.000365,0.0764,-3.374,0.037,91.856,0.621,40
