,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,preview_url
50,Physical Graffiti (Deluxe Edition),3,2LvoSPNXHfIgjgeCcjLaB1,In My Time of Dying - Initial / Rough Mix,spotify:track:2LvoSPNXHfIgjgeCcjLaB1,648093,0.414,0.339,0.688,0.001,0.104,-9.799,0.0555,101.464,0.532,0,https://p.scdn.co/mp3-preview/1c0b12feac4eed7e943466c01d06be33e61ff4ad?cid=ba0aefea59a44616bc6703a7294d312d
51,Physical Graffiti (Deluxe Edition),4,4SL1Um9Fx4amVyFC84ssFU,Houses of the Holy - Rough Mix with Overdubs,spotify:track:4SL1Um9Fx4amVyFC84ssFU,231786,0.467,0.605,0.691,0.742,0.441,-10.57,0.0337,123.288,0.965,0,https://p.scdn.co/mp3-preview/a1157fedbb4d8b8431a9e8524259392e1b25ac0f?cid=ba0aefea59a44616bc6703a7294d312d
52,Physical Graffiti (Deluxe Edition),5,3GofcTXHsor9cgLF7Jau2y,Everybody Makes It Through - In the Light; Early Version / In Transit,spotify:track:3GofcTXHsor9cgLF7Jau2y,389480,0.429,0.521,0.819,0.0703,0.29,-9.694,0.0375,128.54,0.261,0,https://p.scdn.co/mp3-preview/1d630f52e852f354c9a3a71d8d1c422c1d5b575b?cid=ba0aefea59a44616bc6703a7294d312d
53,Physical Graffiti (Deluxe Edition),6,0RleKuFBTc5JzvezdEyggr,Boogie with Stu - Sunset Sound Mix,spotify:track:0RleKuFBTc5JzvezdEyggr,219773,0.233,0.623,0.944,0.452,0.211,-9.099,0.0359,132.727,0.902,0,https://p.scdn.co/mp3-preview/f9cd6821a66a23d5ef98e2a09347d4e87f0be3f2?cid=ba0aefea59a44616bc6703a7294d312d
54,Physical Graffiti (Deluxe Edition),7,0bWjFFDAxoXUJdLPjEdgck,Driving Through Kashmir - Kashmir Rough Orchestra Mix,spotify:track:0bWjFFDAxoXUJdLPjEdgck,521106,0.396,0.473,0.588,0.000169,0.157,-10.407,0.0455,81.317,0.629,0,https://p.scdn.co/mp3-preview/ac8cc8ecfe527ac02aa93a3971ed13612b7c1a73?cid=ba0aefea59a44616bc6703a7294d312d
55,Celebration Day,1,7wGaViRu4g24CDqUcnJrGp,"Good Times Bad Times - Live: O2 Arena, London - December 10, 2007",spotify:track:7wGaViRu4g24CDqUcnJrGp,191560,7.21e-06,0.358,0.84,0.0841,0.567,-9.467,0.0736,96.54,0.536,39,https://p.scdn.co/mp3-preview/604d0ade92be93ea7c3ef0fd9b5b33e87dda8883?cid=ba0aefea59a44616bc6703a7294d312d
56,Celebration Day,2,1kOfZShwvYeN4b4UocSGMm,"Ramble On - Live: O2 Arena, London - December 10, 2007",spotify:track:1kOfZShwvYeN4b4UocSGMm,344560,0.00106,0.343,0.66,0.201,0.991,-10.646,0.0412,95.273,0.515,39,https://p.scdn.co/mp3-preview/5b810af9d0bcba5de7bb6b72fd4abdb52b76f6b2?cid=ba0aefea59a44616bc6703a7294d312d
57,Celebration Day,3,5xAWsRDWBaEv0aFsAAqJBD,"Black Dog - Live: O2 Arena, London - December 10, 2007",spotify:track:5xAWsRDWBaEv0aFsAAqJBD,353400,0.00018,0.202,0.847,0.0176,0.994,-9.943,0.0834,168.3,0.471,39,https://p.scdn.co/mp3-preview/601d7ca3ad610aaf6c91aa49a7251c8e2d8e4c23?cid=ba0aefea59a44616bc6703a7294d312d
58,Celebration Day,4,4usCLaZPkOxZUwcbtfKivq,"In My Time of Dying - Live: O2 Arena, London - December 10, 2007",spotify:track:4usCLaZPkOxZUwcbtfKivq,670786,5.41e-05,0.241,0.873,0.498,0.747,-10.27,0.0625,99.141,0.342,37,https://p.scdn.co/mp3-preview/86fd0e8e637e5fca63876f70f327e2d60c847e4f?cid=ba0aefea59a44616bc6703a7294d312d
59,Celebration Day,5,5RJizstczPZMmGryJVDYWO,"For Your Life - Live: O2 Arena, London - December 10, 2007",spotify:track:5RJizstczPZMmGryJVDYWO,400426,0.000119,0.442,0.84,0.513,0.768,-9.332,0.0528,89.958,0.472,36,https://p.scdn.co/mp3-preview/a5f70a7da14a05097701d41221bd5fbc91f9cf49?cid=ba0aefea59a44616bc6703a7294d312d
60,Celebration Day,6,3r9B2UasogxeNIu1ketFNl,"Trampled Under Foot - Live: O2 Arena, London - December 10, 2007",spotify:track:3r9B2UasogxeNIu1ketFNl,379560,2.01e-05,0.411,0.928,0.875,0.95,-8.142,0.0469,112.828,0.425,36,https://p.scdn.co/mp3-preview/82a64a5933804357ad75048a62087729220a42c0?cid=ba0aefea59a44616bc6703a7294d312d
61,Celebration Day,7,5lHlPa1RZXElMkqnGs3Kp6,"Nobody's Fault but Mine - Live: O2 Arena, London - December 10, 2007",spotify:track:5lHlPa1RZXElMkqnGs3Kp6,403880,0.000147,0.187,0.896,0.776,0.96,-7.791,0.0747,92.893,0.348,36,https://p.scdn.co/mp3-preview/eabf73a32fc258ddfcb8cb1015bfadde0f98cf46?cid=ba0aefea59a44616bc6703a7294d312d
62,Celebration Day,8,5eY0U7Xoyszegss3OQ0DLr,"No Quarter - Live: O2 Arena, London - December 10, 2007",spotify:track:5eY0U7Xoyszegss3OQ0DLr,561653,0.00271,0.306,0.613,0.581,0.777,-10.525,0.0331,125.933,0.183,38,https://p.scdn.co/mp3-preview/27c3d7f0a3cb4c17705d5ad51af8c319b9b1b3b6?cid=ba0aefea59a44616bc6703a7294d312d
63,Celebration Day,9,3hwRLIop9mHDDhKF4IIdx0,"Since I've Been Loving You - Live: O2 Arena, London - December 10, 2007",spotify:track:3hwRLIop9mHDDhKF4IIdx0,472253,0.000134,0.37,0.539,0.437,0.986,-11.7,0.038,117.393,0.0877,36,https://p.scdn.co/mp3-preview/30e5d7a6392cb4c764fdec9d099fe5124c79c740?cid=ba0aefea59a44616bc6703a7294d312d
64,Celebration Day,10,5LAR2sW7fNWoSOci6i25Bv,"Dazed and Confused - Live: O2 Arena, London - December 10, 2007",spotify:track:5LAR2sW7fNWoSOci6i25Bv,704173,0.00107,0.258,0.63,0.576,0.968,-12.42,0.0561,106.409,0.15,34,https://p.scdn.co/mp3-preview/0e815f709a1b9ef62c2c142d532ee1e47da5c299?cid=ba0aefea59a44616bc6703a7294d312d
65,Celebration Day,11,3KCT8vm2H2OEUeS99ID6W1,"Stairway to Heaven - Live: O2 Arena, London - December 10, 2007",spotify:track:3KCT8vm2H2OEUeS99ID6W1,529266,0.01,0.23,0.475,0.0046,0.742,-10.349,0.0316,74.681,0.184,44,https://p.scdn.co/mp3-preview/3cc5478e2fb594a800ec9482e18bfbe3db25ba84?cid=ba0aefea59a44616bc6703a7294d312d
66,Celebration Day,12,41V50mCQUR8JJmbZ66Mnv5,"The Song Remains the Same - Live: O2 Arena, London - December 10, 2007",spotify:track:41V50mCQUR8JJmbZ66Mnv5,346786,4.53e-06,0.245,0.898,0.44,0.687,-9.364,0.0599,144.215,0.503,34,https://p.scdn.co/mp3-preview/c9fef8fdf5fd95177fc8a20c18737b52f49dae83?cid=ba0aefea59a44616bc6703a7294d312d
67,Celebration Day,13,13Wv5Sx8gm5fEkFSIauM5o,"Misty Mountain Hop - Live: O2 Arena, London - December 10, 2007",spotify:track:13Wv5Sx8gm5fEkFSIauM5o,308333,5.65e-05,0.369,0.87,0.0543,0.976,-7.267,0.0398,135.2,0.461,34,https://p.scdn.co/mp3-preview/49c51ba0cd68e458cf7a39f018d85f25ac4d419a?cid=ba0aefea59a44616bc6703a7294d312d
68,Celebration Day,14,4k4tFDl5rmRAA7L7gIjBTI,"Kashmir - Live: O2 Arena, London - December 10, 2007",spotify:track:4k4tFDl5rmRAA7L7gIjBTI,546600,7.12e-05,0.344,0.641,0.0321,0.976,-8.138,0.0303,78.541,0.147,45,https://p.scdn.co/mp3-preview/2ed3c2bc9315b95ac0195121c9fde4038c4b5305?cid=ba0aefea59a44616bc6703a7294d312d
69,Celebration Day,15,61p7OkY6r9uwHJcqZW5utf,"Whole Lotta Love - Live: O2 Arena, London - December 10, 2007",spotify:track:61p7OkY6r9uwHJcqZW5utf,446373,0.000142,0.196,0.909,0.658,0.968,-8.932,0.111,90.505,0.242,37,https://p.scdn.co/mp3-preview/620817e26b632d2e90591c2e621843ffc3078159?cid=ba0aefea59a44616bc6703a7294d312d
70,Celebration Day,16,3DSkrxetK6Xigh53HhzZiY,"Rock and Roll - Live: O2 Arena, London - December 10, 2007",spotify:track:3DSkrxetK6Xigh53HhzZiY,274960,1.24e-05,0.25,0.916,0.871,0.697,-8.397,0.0605,165.608,0.543,37,https://p.scdn.co/mp3-preview/60f72d28a675db582ea035f1c63cb2af1e4ed5c7?cid=ba0aefea59a44616bc6703a7294d312d
71,Mothership,1,3tcaltthSz9s6awB6koVRo,Good Times Bad Times - 2007 Remaster,spotify:track:3tcaltthSz9s6awB6koVRo,167733,0.0803,0.457,0.718,2.13e-06,0.0513,-9.994,0.0881,93.395,0.686,49,https://p.scdn.co/mp3-preview/94028f4bb847f573b9e8f6312ad1ffb1cf72de20?cid=ba0aefea59a44616bc6703a7294d312d
72,Mothership,2,6GXlXAfXR7C6u1VjR3VMsm,Communication Breakdown - 2007 Remaster,spotify:track:6GXlXAfXR7C6u1VjR3VMsm,148560,0.161,0.384,0.95,7.15e-06,0.61,-7.264,0.149,175.055,0.454,49,https://p.scdn.co/mp3-preview/8a6fc1ede9e37aea41d522f753082f7dfd0eb346?cid=ba0aefea59a44616bc6703a7294d312d
